heart_rate,time_elapsed,distance,avg_running_cadence,total_calories,speed
169.0,2620.0,11.26542,82.0,98.0,0.004299778625954199
171.0,2988.0,12.878,82.0,97.0,0.004309906291834003
167.0,1530.0,1.6119100000000002,80.0,75.0,0.0010535359477124185
133.0,2027.0,3.2240100000000003,82.0,109.0,0.001590532807104095
152.0,2483.0,4.82909,80.0,94.0,0.0019448610551751912
150.0,2576.0,5.16944,79.0,22.0,0.0020067701863354034
176.0,2964.0,6.78491,82.0,100.0,0.0022891059379217273
173.0,3346.0,8.38836,82.0,101.0,0.002506981470412433
152.0,3819.0,9.99741,82.0,100.0,0.002617808326787117
110.0,6075.0,10.11914,82.0,7.0,0.0016657020576131686
